Pin, Net, Length
A12, DDR_A0, 40.1157 
A29, DDR_A1, 26.6688 
A15, DDR_A2, 43.4587 
A8, DDR_A3, 29.3546 
A20, DDR_A4, 37.3979 
A25, DDR_A5, 27.7971 
A13, DDR_A6, 39.1106 
A30, DDR_A7, 26.5722 
A14, DDR_A8, 42.3274 
A26, DDR_A9, 25.4540 
A17, DDR_A10, 32.0188 
A11, DDR_A11, 45.2399 
A31, DDR_A12, 26.4559 
A28, DDR_A13, 23.3106 
A22, DDR_ACTN, 32.2493 
A16, DDR_BA0, 35.7581 
A27, DDR_BA1, 24.6876 
A21, DDR_BG0, 35.9104 
A9, DDR_CASN, 29.7902 
A0, DDR_CKE, 35.8395 
A5, DDR_CLK_N, 40.5712 
A4, DDR_CLK_P, 41.2056 
A2, DDR_CSN, 38.3335 
, DDR_DQO, 22.9329 
, DDR_DQ1, 24.1319 
, DDR_DQ2, 21.8825 
, DDR_DQ3, 23.6851 
, DDR_DQ4, 24.8329 
, DDR_DQ5, 23.7674 
, DDR_DQ6, 24.3975 
, DDR_DQ7, 25.0624 
, DDR_DQ8, 38.5655 
, DDR_DQ9, 39.2572 
, DDR_DQ10, 39.6806 
, DDR_DQ11, 41.4084 
, DDR_DQ12, 39.6580 
, DDR_DQ13, 39.8274 
, DDR_DQ14, 39.7875 
, DDR_DQ15, 39.4909 
, DDR_DQMO, 23.8565 
, DDR_DQM1, 39.0711 
, DDR_DQSO_N, 24.1261 
, DDR_DQSO_P, 24.2691 
, DDR_DQS1_N, 38.9889 
, DDR_DQS1_P, 38.4341 
A3, DDR_ODT, 34.8164 
A10, DDR_RASN, 30.8796 
RESETN, DDR_RESETN, 32.6734 
A23, DDR_WEN, 30.1164 

